Product Name,Brand,Ingredients,Health Risk Numerical Data,Health Risk Level,Long-Term Health Effects,Skin Type Numerical Data,Skin Type,Age Group Numerical Data,Age Group,Price,Rupees,Rating,Usage Instructions
Foundation,Brand A,Water,204,Moderate,User friendly,1,Normal,104,Young Adult,$20 ,1700,4.5,Apply evenly on clean skin
Lipstick,Brand B,Red 7 Lake,204,Moderate,Dry Lips,1,Normal,101,Adult,$15 ,1275,3.8,Apply directly to lips
Mascara,Brand C,Carbon Black,201,High,Eye Irritation,2,Sensitive,101,Adult,$25 ,2125,2,Use with caution near eyes
Eyeliner,Brand D,Iron Oxides,204,Moderate,User friendly,3,Oily,104,Young Adult,$18 ,1530,4.2,Apply close to lash line
Moisturizer,Brand E,"Glycerin, Hyaluronic Acid",204,Moderate,Hydration,4,Dry,101,Adult,$30 ,2550,4.8,"Apply to clean, dry skin"
Sunscreen,Brand F,"Titanium Dioxide, Zinc Oxide",201,High,UV Protection,5,Combination,101,Adult,$35 ,2975,4.7,Apply liberally 15 mins before sun exposure
Blush,Brand G,"Mica, Iron Oxides",204,Moderate,Skin Sensitivity,1,Normal,101,Adult,$22 ,1870,3.9,Apply on apples of cheeks
Lip Balm,Brand H,"Beeswax, Shea Butter",201,High,Hydration,4,Dry,101,Adult,$10 ,850,4.5,Apply as needed throughout the day
Eye Cream,Brand I,"Retinol, Peptides",204,Moderate,Fine Lines,4,Dry,101,Adult,$40 ,3400,4.6,Gently pat around eye area
Concealer,Brand J,"Talc, Titanium Dioxide",201,High,Concealment,5,Combination,101,Adult,$18 ,1530,4,Apply on imperfections
Eyeshadow Palette,Brand K,"Talc, Mica, Iron Oxides",204,Moderate,Eye Irritation,1,Normal,101,Adult,$40 ,3400,4.2,Apply on eyelids
Lip Gloss,Brand L,"Polybutene, Mineral Oil",201,High,User friendly,1,Normal,104,Young Adult,$12 ,1020,3.9,Apply over lipstick or alone
Face Serum,Brand M,"Hyaluronic Acid, Vitamin C",201,High,Brightening,5,Combination,101,Adult,$50 ,4250,4.8,Apply before moisturizer
Body Lotion,Brand N,"Shea Butter, Coconut Oil",201,High,Hydration,4,Dry,101,Adult,$20 ,1700,4.5,Apply after showering
Eyebrow Pencil,Brand O,"Candelilla Wax, Iron Oxides",201,High,User friendly,1,Normal,101,Adult,$10 ,850,4,Fill in sparse areas of eyebrows
Primer,Brand P,"Dimethicone, Silica",201,High,Smoothing,5,Combination,101,Adult,$30 ,2550,4.7,Apply before foundation
Setting Spray,Brand Q,"Alcohol Denat, Water",204,Moderate,Skin Irritation,3,Oily,101,Adult,$25 ,2125,3.5,Mist over makeup to set
Nail Polish,Brand R,"Butyl Acetate, Ethyl Acetate",201,High,User friendly,1,Normal,101,Adult,$8 ,680,4.1,"Apply on clean, dry nails"
Highlighter,Brand S,"Talc, Mica, Titanium Dioxide",204,Moderate,Skin Sensitivity,1,Normal,101,Adult,$15 ,1275,4.3,Apply on high points of face
Cleanser,Brand T,"Sodium Lauryl Sulfate, Glycerin",204,Moderate,Cleansing,3,Oily,101,Adult,$18 ,1530,4.6,"Massage onto wet skin, rinse off"
Makeup Remover,Brand U,"Mineral Oil, Water",201,High,Gentle Removal,4,Dry,101,Adult,$12 ,1020,4.4,"Apply to cotton pad, wipe off makeup"
Face Mask,Brand V,"Kaolin, Bentonite Clay",204,Moderate,Purifying,5,Combination,101,Adult,$25 ,2125,4,"Apply a thin layer, leave on for 15 mins"
Bronzer,Brand W,"Talc, Mica, Iron Oxides",204,Moderate,Skin Sensitivity,1,Normal,101,Adult,$20 ,1700,3.8,Apply to contour and warm up face
Lip Liner,Brand X,"Cyclopentasiloxane, Synthetic Wax",201,High,User friendly,1,Normal,101,Adult,$8 ,680,4.2,Line lips before applying lipstick
Face Oil,Brand Y,"Jojoba Oil, Rosehip Oil",201,High,Hydration,4,Dry,101,Adult,$35 ,2975,4.9,Apply a few drops to clean skin
